charset,character set
throwable,throwable
args,arguments
appendable,appendable
len,length
cbuf,character buffer
buf,buffer
raf,random access file
dst,destination
concat,concatenation
url,uniform resource locator
utf,unicode transformation format
enum,enumeration
multimap,multi map
pv,pv
ip,internet protocol
inet,internet
hextet,hextet
uri,uniform resource identifier
hextets,hextets
compat,compatible
isatap,intra site automatic tunnel addressing protocol
dest,destination
csq,character sequence
xml,extensible markup language
bimap,bimap
nanos,nano seconds
clazz,class
spliterator,split iterator
jla,java log analyser
params,parameters
finalizer,finalizer
unencoded,unencoded
hmac,hmac
impl,implementation
fpp,false positive probability
endian,endian
mul,multiplication
fmix,fmix
hashers,hashers
pearsons,pearsons
nums,numbers
cas,cas
uninterruptibly,uninterruptibly
validator,validator
nano,nano
mutex,mutually exclusive
interruptibly,interruptibly
resync,re sync
cmp,compare
hc,hash code
ssize,segment size
evictable,evictable
multiset,multi set
unicode,unicode
deque,deque
interner,interner
aggr,aggregation
succ,successor
supertype,super type
overridable,overridable
classloader,class loader
cls,clear screen
unregister,unregister
trie,trie
millis,millis
jta,java transaction api
loggable,loggable
lhs,left hand side
etype,e type
jira,jira
lastname,last name
classpath,class path
descr,description
influencers,influencers
sql,structured query language
updateability,updateability
insertability,insertability
versioned,versioned
versionability,versionability
updateable,updateable
nullness,nullness
nonlazy,non lazy
expr,expression
seperator,separator
fk,foreign key
bytecode,bytecode
metadata,metadata
_name,name
rhs,right hand side
hql,hibernate query language
sfi,session factory implementor
unalias,unalias
subquery,sub query
metamodel,metamodel
jdbc,java database connectivity
integrators,integrators
metadatasources,metadata sources
lifecycle,life cycle
asc,ascendent
enrolments,enrollments
deserialize,deserialize
uuid,universally unique id
queryable,queryable
contraint,contraint
subselect,subselect
pojo,plain old java object
tuplizer,tuplizer
versionable,versionable
doremove,do remove
lce,loading collection entry
ojf,join fragment
cacheable,cacheable
dml,data manipulation language
pw,password
jaxb,java architecture for extensible markup language  binding
hbm,hibernate mapping file
tuplizers,tuplizers
nullability,nullability
reffering,referring
jpaql,jpaql
defaultable,defaultable
$$,$$
_get,get
_set,set
jpa,java persistence api
exportables,exportables
config,configuration
fums,???
qux,???
_,
seperators,seperators
ent,entity
cfg,configuration
qb,query block
nullifiable,nullifiable
referenceable,referenceable
classfile,class file
fd,file descriptor
embeddedable,embeddedable
orm,object relational mapping
